School_Name_EN,Zone_Desc_EN,SchoolGender_EN,School_Category_EN,School_Phone,School_Email
Khor Fakkan-2 Kindergarten,Sharjah / Eastern,Mixed,Public,065077120,ALABRAAR.KHR@moe.gov.ae
AL-MOROOJ KINDERGARTEN,Sharjah / Eastern,Mixed,Public,092779404;024089799,ALMOROOJ.KHR@moe.gov.ae
KHOR FAKKAN 1 kindergarten,Sharjah / Eastern,Mixed,Public,065077584,huda272750@moe.ae
KALBA kindergarten,Sharjah / Eastern,Mixed,Public,065077100,Un-Known
AL -BAYADER KINDERGARTEN,Sharjah / Eastern,Mixed,Public,092389288;092388226,ALBAYADER.KHR@moe.gov.ae
AL -YASMEEN KINDERGARTEN,Sharjah / Eastern,Mixed,Public,065077106,roqaya273042@moe.ae
AL-NAHWAH KINDERGARTEN & SCHOOL- CYCLE1,Sharjah / Eastern,Mixed,Public,092380906,Halima-I.Alnaqbi@ese.gov.ae
ABDULLA BIN NASSER BOYS' SCHOOL - CYCLE2,Sharjah / Eastern,Male,Public,,ABDULLABINNASSER.KHR@moe.gov.ae
ABDULLAH BIN AL MUBARAK SCHOOL- CYCLE1,Sharjah / Eastern,Mixed,Public,042382133,ABDULLAHBINALMUBARAK.KHR@moe.gov.ae
AL-HESSN BOYS' SCHOOL CYCLE1& CYCLE2,Sharjah / Eastern,Male,Public,065077597;024089928,ALHESSNBOYS.KHR@moe.gov.ae
AL-JISR BOYS' SCHOOL - CYCLE2,Sharjah / Eastern,Male,Public,092343100,ALJISRBOYS.KHR@moe.gov.ae
ABDEL RAHMAN AL-NASSER -CYCLE1,Sharjah / Eastern,Mixed,Public,,ABDELRAHMANALNASSER.KHR@moe.gov.ae
Al - Furqan School-Cycle1,Sharjah / Eastern,Mixed,Public,065077114,amnah272106@moe.ae
ABU AYOOB AL- ANSARI BOYS' SCHOOL - CYCLE2,Sharjah / Eastern,Male,Public,065077150,ABUAYOOBALANSARI.KHR@moe.gov.ae
OMEIR BIN ABI WAQQAS SCHOOL- CYCLE1,Sharjah / Eastern,Mixed,Public,,Un-Known
AL-QUDWA BOYS' SCHOOL - CYCLE2,Sharjah / Eastern,Male,Public,065077146;065077147,ALQUDWA.KHR@moe.gov.ae
ABDULLA BIN AL- ZUBAIR SECONDARY BOYS' SCHOOL,Sharjah / Eastern,Male,Public,,ABDULLABINALZUBAIR.KHR@moe.gov.ae
AL-MAHMOUD BOYS' SCHOOL FOR SECONDARY EDUCATION,Sharjah / Eastern,Male,Public,2773155;2779397,ALMAHMOUD.KHR@moe.gov.ae
AL-KHALIDIA BOYS' SCHOOL CYCLE2 & SECONDARY EDUCATION,Sharjah / Eastern,Male,Public,065077590;092446593,omar.salem@ese.gov.ae
SAIF AL-YA'RUBI BOYS' SCHOOL FOR SECONDARY EDUCATION,Sharjah / Eastern,Male,Public,092777596;092772460,Un-Known
AL-KHALIL BIN AHMED BOYS' SCHOOL FOR SECONDARY EDUCATION,Sharjah / Eastern,Male,Public,092388353,ALKHALILBINAHMED.KHR@moe.gov.ae
"WADI AL-HILLO SCHOOL CYCLE 1,2 & SECONDARY EDUCATION",Sharjah / Eastern,Male,Public,0504840543;048525013,mohamed270876@moe.ae
ATEKAH BINT ZAID SCHOOL- CYCLE 1,Sharjah / Eastern,Mixed,Public,092388642;092388367,ATEKAHBINZAID.KHR@moe.gov.ae
KHOR FAKKAN SCHOOL- CYCLE 1,Sharjah / Eastern,Mixed,Public,065077192;065077192,Un-Known
WADI AL-HILLO SCHOOL- CYCLE 1,Sharjah / Eastern,Mixed,Public,065077116;0505175570,Amna-R.ali@ese.gov.ae
OMAMAH BINT ABI AL AAS SCHOOL -CYCLE1,Sharjah / Eastern,Mixed,Public,,OMAMAHBINTABIALAAS.KHR@moe.gov.ae
Al - Shuhada1 School - Cycle2,Sharjah / Eastern,Female,Public,092777604;092777151,UMMALFADELBINTHAMZAH.KHR@moe.gov.ae
Al - Hoor Girls' School for Cycle2 & Secondary Education,Sharjah / Eastern,Female,Public,0504320055;065077594;065077594,Fatmah-O.Aldhanhani@ese.gov.ae
ASIA BIN MOZAHEM GIRLS' SCHOOL - CYCLE2,Sharjah / Eastern,Female,Public,092380424;0555590700;042371139,ASIABINMOZAHEM.KHR@moe.gov.ae
JUMANAH BINT ABI TALEB GIRLS' SCHOOL - CYCLE2,Sharjah / Eastern,Female,Public,065077198,JUMANAHBINTABITALEB.KHR@moe.gov.ae
AL-HIJRAH GIRLS' SCHOOL -CYCLE2,Sharjah / Eastern,Female,Public,065077145,Habiba.Almazrouei@ese.gov.ae
JAMEELAH BU HAIRED GIRLS' SCHOOL FOR SECONDARY EDUCATION,Sharjah / Eastern,Female,Public,092777301,JAMEELAHBUHAIRED.KHR@moe.gov.ae
BAHETHAT AL-BADEYAH GIRLS' SCHOOL FOR SECONDARY EDUCATION,Sharjah / Eastern,Female,Public,0506292993;065077130,huyam269999@moe.ae
AL-SHEFA'A BINT ABDULLAH FOR SECONDARY EDUCATION,Sharjah / Eastern,Female,Public,,ALSHEFAABINTABDULLAH.KHR@moe.gov.ae
UMM OMARAH GIRLS' SCHOOL FOR SECONADARY EDUCATION,Sharjah / Eastern,Female,Public,092389277,badria285939@moe.ae
"AISHAH BINT OTHMAN CYCLE 1,2& SECONDARY SCHOOL",Sharjah / Eastern,Female,Public,8525075,Un-Known
Al - Hoor Kindergarten,Sharjah / Eastern,Mixed,Public,065077592,ALNAFAES.KHR@moe.gov.ae
AL – HUSSEIN GIRLS' SCHOOL CYCLE1 & KINDERGARTEN,Sharjah / Eastern,Mixed,Public,065077080,Un-Known
AL-EQD AL-FAREED SCHOOL -CYCLE1,Sharjah / Eastern,Mixed,Public,092442315,Un-Known
Umm Omarah Kindergarten,Sharjah / Eastern,Mixed,Public,092389255;092389917,Un-Known
AL-BAYAN PRIVATE SCHOOL,SHARJAH,Mixed,Private,092382339;092386488;092370540;0504202233,albayan-psch@spea.shj.ae
Amal School For The Deaf (Eastern Region Branch),SHARJAH,Mixed,Private,,Un-Known
AL KHATEM,ABU DHABI,Mixed,Public,024119422,1076@moe.gov.ae
AL MABADE,AL AIN,Mixed,Public,025663070,1077@moe.gov.ae
KHALIFA CITY A SCHOOL,ABU DHABI,Mixed,Public,24473944,1079@moe.gov.ae
AL WAJAN,AL AIN,Mixed,Public,37350028,1080@moe.gov.ae
AL HOSSON,AL AIN,Female,Public,037848597,1083@moe.gov.ae
AL SOMOU,AL AIN,Mixed,Public,37848841,1084@moe.gov.ae
AL SHIYAM,AL AIN,Female,Public,037848174,1085@moe.gov.ae
MARYAM BINT SULTAN,AL AIN,Female,Public,37227873,1086@moe.gov.ae
AL JAHILI,AL AIN,Female,Public,037674953,1087@moe.gov.ae
NEW MEZYAD,AL AIN,Mixed,Public,037848870,1088@moe.gov.ae
UM GHAFA,AL AIN,Male,Public,037194757,1089@moe.gov.ae
OULA KG - ABU DHABI,ABU DHABI,Mixed,Public,024119782,1113@moe.gov.ae
AL KHLEEF KG,AL AIN,Mixed,Public,037194187,1114@moe.gov.ae
AL DIWAN KG,AL AIN,Mixed,Public,037194282,1115@moe.gov.ae
BEDAA AL MUTAWA,AL DHAFRA,Mixed,Public,028745006,1151@moe.gov.ae
AL SELAA,AL DHAFRA,Mixed,Public,028724051,1153@moe.gov.ae
MURAIJIB,AL AIN,Female,Public,037620561,1173@moe.gov.ae
ZAKER KG,AL AIN,Mixed,Public,0506434521,1242@moe.gov.ae
AL YAHAR KG,AL AIN,Mixed,Public,037379611,1243@moe.gov.ae
AL ARYAM KG,ABU DHABI,Mixed,Public,024119547,1244@moe.gov.ae
